epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,587.614,0.3902,0.61923,0.60661,0.90277,0.94956,0.96873,0.90157,0.37492,0.50879,0.61313,0.000178164,0.000178164,0.000178164
136,591.709,0.36369,0.53664,0.60301,0.91618,0.95804,0.9715,0.91454,0.36922,0.48727,0.61292,0.00017271,0.00017271,0.00017271
137,595.606,0.39228,0.57696,0.6265,0.91503,0.9606,0.97207,0.91185,0.37009,0.47556,0.61408,0.000167256,0.000167256,0.000167256
138,601.247,0.39897,0.56833,0.609,0.94891,0.96051,0.98386,0.92174,0.37106,0.46596,0.61465,0.000161802,0.000161802,0.000161802
139,604.125,0.36404,0.62353,0.59529,0.95001,0.96455,0.98494,0.92567,0.37713,0.45576,0.61942,0.000156348,0.000156348,0.000156348
140,608.395,0.33366,0.50689,0.59008,0.95287,0.96374,0.98435,0.92059,0.37642,0.44581,0.61691,0.000150894,0.000150894,0.000150894
141,618.61,0.23085,0.70613,0.5541,0.95148,0.96569,0.98429,0.9238,0.37886,0.44258,0.61771,0.00014544,0.00014544,0.00014544
142,623.298,0.22488,0.69384,0.5498,0.94735,0.97286,0.98444,0.92357,0.3809,0.43925,0.61867,0.000139986,0.000139986,0.000139986
143,628.166,0.25363,0.71819,0.55508,0.94911,0.97681,0.98456,0.92219,0.37959,0.44821,0.61697,0.000134532,0.000134532,0.000134532
144,633.399,0.22736,0.59879,0.53338,0.95613,0.96107,0.98141,0.91995,0.3812,0.4788,0.61673,0.000129078,0.000129078,0.000129078
145,637.487,0.23536,0.61711,0.52854,0.9643,0.96153,0.98126,0.91332,0.38189,0.49479,0.61786,0.000123624,0.000123624,0.000123624
146,642.958,0.25469,0.72167,0.57711,0.96073,0.95384,0.98041,0.91823,0.3819,0.50838,0.61931,0.00011817,0.00011817,0.00011817
147,646.975,0.25759,0.63843,0.55107,0.96086,0.94801,0.9808,0.91451,0.38367,0.5089,0.6212,0.000112716,0.000112716,0.000112716
148,650.681,0.23625,0.6312,0.53104,0.93553,0.916,0.96913,0.90177,0.38898,0.50564,0.62564,0.000107262,0.000107262,0.000107262
149,655.514,0.2167,0.56952,0.50444,0.93286,0.91399,0.96763,0.88867,0.38976,0.50951,0.62593,0.000101808,0.000101808,0.000101808
150,659.777,0.22947,0.568,0.53184,0.93367,0.90596,0.96629,0.87746,0.39241,0.51402,0.62665,9.6354e-05,9.6354e-05,9.6354e-05
